Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C7",0603,4,100nF,C14663
"C2, C3, C4, C5, C6, C8",0603,6,4.7uF,C19666
C9,0603,1,220nF,C21120
"D1, D2",D_SOD-323,2,B5817WS,C5178966
"D10, D11, D12, D13, D3, D4, D5, D7, D8, D9",0603,10,WHITE,C2290
D6,LED_RGB_1210,1,RGB,
J1,PinHeader_1x04_P2.54mm_Vertical,1,SWD_HEADER,N/A
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
L1,0603,1,4.7uH,C1034
"R1, R2",0603,2,5k1,C23186
"R10, R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R3, R5, R6, R7, R8",0603,17,10k,C25804
R17,0603,1,2M,C22976
"R18, R4",0603,2,470k,C23178
R9,0603,1,330k,C23137
"SW1, SW2, SW3, SW6, SW7, SW8",MST-22D18G2 3J,6,SW_SPDT,C2875122
"SW4, SW5",SW_Push_1P1T_XKB_TS-1187A,2,BUTTON,C318884
"U1, U4",SOT65P210X110-6N,2,SMF05CT1G,C15879
U2,SOT-23-5,1,M3406,C83224
U3,SOT-23-6,1,BQ21040DBVR,C202311
U5,LPCC-16,1,QMC5883L,C976032
U6,XCVR_BC805M,1,BC805M,C6751361
U7,Bosch_LGA-14_3x2.5mm_P0.5mm,1,LSM6DSV,C9900037528
