Designator,Mid X,Mid Y,Rotation,Layer
BT1,192.346176,-100.641778,90.0,top
C1,182.713051,-120.127982,270.0,top
C10,127.565248,-94.401918,0.0,top
C2,121.026117,-126.306521,180.0,top
C3,117.565617,-124.346521,0.0,top
C4,117.565617,-126.306521,0.0,top
C5,176.153051,-120.567982,270.0,top
C6,166.398622,-87.111918,90.0,top
C7,173.151622,-86.571918,270.0,top
C8,169.941622,-83.361918,180.0,top
C9,130.274748,-97.851918,90.0,top
D1,133.6,-79.8,180.0,top
D10,176.433051,-94.841918,90.0,top
D11,176.433051,-104.915604,270.0,top
D12,181.683051,-124.447982,90.0,top
D13,105.848051,-109.444619,0.0,top
D14,149.813,-107.455,0.0,top
D2,105.958051,-112.267119,180.0,top
D3,153.313408,-124.339418,270.0,top
D4,139.313408,-124.051918,270.0,top
D5,188.855935,-94.442924,0.0,top
D6,167.313408,-124.151918,270.0,top
D7,148.1705,-96.92,0.0,top
D8,129.433051,-83.981918,90.0,top
D9,125.433051,-83.981918,90.0,top
J1,126.8,-77.0,90.0,top
J2,131.8,-77.0,90.0,top
J3,102.308051,-90.892119,270.0,top
J4,100.558051,-112.567119,0.0,top
J5,100.408051,-103.764619,270.0,top
J6,195.471176,-94.091778,180.0,top
J7,169.526498,-75.0,180.0,top
L1,117.565617,-122.406521,180.0,top
R1,106.098051,-97.194619,0.0,top
R10,167.313408,-120.726918,270.0,top
R11,178.863051,-117.417982,0.0,top
R12,129.433051,-87.481918,90.0,top
R13,179.433051,-128.697982,180.0,top
R14,123.865248,-98.601918,180.0,top
R15,125.433051,-87.481918,90.0,top
R16,123.865248,-96.361918,180.0,top
R17,174.590919,-94.816423,270.0,top
R18,165.838051,-91.826918,180.0,top
R19,174.569897,-104.915604,90.0,top
R2,106.098051,-98.944619,0.0,top
R20,165.838051,-101.436918,180.0,top
R21,178.863051,-125.237982,0.0,top
R22,117.6,-120.4,0.0,top
R23,123.8,-119.696521,270.0,top
R24,178.863051,-123.277982,0.0,top
R25,105.098051,-106.694619,270.0,top
R26,108.848051,-106.694619,270.0,top
R27,146.333,-107.42,0.0,top
R28,143.083,-102.1,270.0,top
R3,153.313408,-120.839418,270.0,top
R4,186.441956,-81.918254,0.0,top
R5,139.313408,-120.801918,270.0,top
R6,143.241,-97.84,0.0,top
R7,153.0,-97.84,180.0,top
R8,153.0,-96.0,180.0,top
R9,181.641956,-79.143254,270.0,top
SW1,147.563408,-123.801918,180.0,top
SW2,133.563408,-123.801918,180.0,top
SW3,161.563408,-123.801918,180.0,top
SW4,148.083,-103.42,180.0,top
SW5,127.435799,-107.231918,0.0,top
SW6,168.933051,-94.981918,0.0,top
SW7,168.933051,-104.591918,0.0,top
U1,121.933051,-75.981918,270.0,top
U2,121.596117,-123.376521,0.0,top
U3,179.433051,-120.347982,0.0,top
U4,162.956498,-76.48,90.0,top
U5,169.671622,-86.841918,90.0,top
U6,147.933051,-78.356918,0.0,top
U7,127.445248,-97.481918,90.0,top
